Player,Hall of Fame,Logreg Pred,DTree Pred,RFC Pred,ETC Pred,GBC Pred,SVC Pred,Correct Models (out of 6),Mean Confidence in Prediction,Mean Adjusted Prediction Score
Rick Rhoden,0,0,0,0,0,0,0,6,0.9909665783211953,0.982158455438069
Jimmy Key,0,0,0,0,0,0,0,6,0.9507808009388051,0.9098323477165605
Bob Buhl,0,0,0,0,0,0,0,6,0.9835074990862075,0.9675119455104301
Barry Zito,0,0,0,0,0,0,0,6,0.9921170139351201,0.984465694064327
Terry Mulholland,0,0,0,0,0,0,0,6,0.9951961118701934,0.990519896740346
Jesse Barnes,0,0,0,0,0,0,0,6,0.9918892964489316,0.9839168732131052
Joe Coleman (colemjo05),0,0,0,0,0,0,0,6,0.9898588569360763,0.979955973718628
Harry Howell,0,0,0,0,0,0,0,6,0.9824343911792969,0.9654265054476708
Bret Saberhagen,0,0,0,0,0,0,0,6,0.8852867254305584,0.8018032344649332
Scott Sanderson,0,0,0,0,0,0,0,6,0.9892341507583851,0.9787246743066399
Bill Gullickson,0,0,0,0,0,0,0,6,0.9887790961607575,0.9778015596165185
Eddie Rommel,0,0,0,0,0,0,0,6,0.9807591237869472,0.9620651099930329
Paul Splittorff,0,0,0,0,0,0,0,6,0.9916494669533669,0.9834646201783673
Jeff Suppan,0,0,0,0,0,0,0,6,0.9941516904400363,0.9884208265888313
Red Lucas,0,0,0,0,0,0,0,6,0.9781175184599924,0.957224914412015
Pretzels Getzien,0,0,0,0,0,0,0,6,0.9873178145480694,0.9749195919986927
Doug Drabek,0,0,0,0,0,0,0,6,0.9865761400839795,0.9735756238669815
Kyle Lohse,0,0,0,0,0,0,0,6,0.9946325170734752,0.9894202398065574
Stan Bahnsen,0,0,0,0,0,0,0,6,0.988157386175717,0.976634045850512
John Candelaria,0,0,0,0,0,0,0,6,0.9449415009589456,0.8950044281512861
Ice Box Chamberlain,0,0,0,0,0,0,0,6,0.9907170784735682,0.9815757326843192
Rube Benton,0,0,0,0,0,0,0,6,0.9907785667799249,0.9817778672183223
Jim Clancy,0,0,0,0,0,0,0,6,0.9951718095766903,0.9904659462271095
Frank Killen,0,0,0,0,0,0,0,6,0.9903935554780455,0.9810046880501327
Andy Benes,0,0,0,0,0,0,0,6,0.9866512725786473,0.9737050918779503
Lefty Gomez,1,0,0,0,0,0,0,0,0.851521297945414,-1.478346397393578
Steve Trachsel,0,0,0,0,0,0,0,6,0.9952256035178407,0.9905699884855542
Ray Sadecki,0,0,0,0,0,0,0,6,0.9883565408465805,0.9769975001131085
Steve Renko,0,0,0,0,0,0,0,6,0.9913295310444957,0.9828473333049059
Sam McDowell,0,0,0,0,0,0,0,6,0.945837119961237,0.8972857683226
Allie Reynolds,0,0,0,0,0,0,0,6,0.8504046847975321,0.7457024352795883
Kevin Gross,0,0,0,0,0,0,0,6,0.9892317992568777,0.978742715707217
Win Mercer,0,0,0,0,0,0,0,6,0.9959550902139016,0.9919964946691735
Hal Schumacher,0,0,0,0,0,0,0,6,0.9745806086286696,0.9506555949668769
Ned Garver,0,0,0,0,0,0,0,6,0.9927876082143086,0.9857476113466784
Ron Reed,0,0,0,0,0,0,0,6,0.969601936408384,0.9409129538645469
John Ward,1,0,0,0,0,0,0,0,0.9327115095117904,-1.7508480242145381
Bobby Witt,0,0,0,0,0,0,0,6,0.9931580357435074,0.9864438491691713
Jim Lonborg,0,0,0,0,0,0,0,6,0.9926597822038875,0.9854929025290086
Brad Radke,0,0,0,0,0,0,0,6,0.9930332162255727,0.9862174121654691
Tim Belcher,0,0,0,0,0,0,0,6,0.9933226097677804,0.9867960052923183
Mudcat Grant,0,0,0,0,0,0,0,6,0.9891272672907903,0.9786125931846849
Eddie Lopat,0,0,0,0,0,0,0,6,0.9700634657769928,0.9419277345469067
Bronson Arroyo,0,0,0,0,0,0,0,6,0.9931008497576673,0.9863858255165163
Matt Kilroy,0,0,0,0,0,0,0,6,0.9919563096222594,0.9841017983644944
Dan Haren,0,0,0,0,0,0,0,6,0.9832696567452456,0.9670244556129574
Bruce Hurst,0,0,0,0,0,0,0,6,0.9822221935643349,0.9652931704520594
Woodie Fryman,0,0,0,0,0,0,0,6,0.9898928441857292,0.9800296015958542
Bob Rush,0,0,0,0,0,0,0,6,0.9936224335824985,0.9874505605952467
Mike Caldwell,0,0,0,0,0,0,0,6,0.9907252127734535,0.9816472602411963
Jeff Pfeffer,0,0,0,0,0,0,0,6,0.966284225863305,0.9348153413463542
Larry Corcoran,0,0,1,0,0,0,0,5,0.8304319340947531,0.2144698270930124
Ron Guidry,0,0,0,0,0,0,0,6,0.865285710839944,0.7618480044264085
Al Leiter,0,0,0,0,0,0,0,6,0.9888555754875931,0.9780639960477511
Kid Gleason,0,0,0,0,0,0,0,6,0.9446989905620052,0.900193703904426
Floyd Bannister,0,0,0,0,0,0,0,6,0.9936864341298587,0.9875698131906825
Ryan Dempster,0,0,0,0,0,0,0,6,0.9940141153343033,0.9882061791315264
Mike McCormick,0,0,0,0,0,0,0,6,0.9870712634601988,0.9745470651734326
Jake Peavy,0,0,0,0,0,0,0,6,0.9694901805998698,0.9406937165068601
Nap Rucker,0,0,0,0,0,0,0,6,0.9059339857809682,0.8250749772664955
Claude Hendrix,0,0,0,0,0,0,0,6,0.9580805638229549,0.9198727964805097
Jon Matlack,0,0,0,0,0,0,0,6,0.9642133754040353,0.9311190541565217
Scott Erickson,0,0,0,0,0,0,0,6,0.994966141069849,0.9900706368748641
Ron Darling,0,0,0,0,0,0,0,6,0.9920589717531129,0.9843095848336033
Jimmy Ring,0,0,0,0,0,0,0,6,0.995166234029667,0.990400395710845
Pedro Ramos,0,0,0,0,0,0,0,6,0.9943168908047048,0.9887878813359751
General Crowder,0,0,0,0,0,0,0,6,0.9899412499689498,0.9800939117002873
Tully Sparks,0,0,0,0,0,0,0,6,0.98877953169469,0.977835052024545
Earl Hamilton,0,0,0,0,0,0,0,6,0.9939853252571172,0.9880834481261008
Bob Groom,0,0,0,0,0,0,0,6,0.9850426605350929,0.9705095872834888
Larry Dierker,0,0,0,0,0,0,0,6,0.9778436141316917,0.9566804664855163
Thornton Lee,0,0,0,0,0,0,0,6,0.9868310816129596,0.9740958416371549
Randy Wolf,0,0,0,0,0,0,0,6,0.9931958007910614,0.9866154945064428
Addie Joss,1,0,0,0,0,1,0,1,0.7829439592960935,-0.8204273470683267
Curt Davis,0,0,0,0,0,0,0,6,0.9861212005043597,0.9726591072527331
Chris Short,0,0,0,0,0,0,0,6,0.9931962475203547,0.9865693940693322
Sandy Koufax,1,1,1,0,0,1,0,3,0.6723652096118764,-0.2518608233913624
Aaron Harang,0,0,0,0,0,0,0,6,0.9950489033770582,0.9902270266257102
Jack Coombs,0,0,0,0,0,0,0,6,0.9144459013390956,0.8431687329470456
George Weidman,0,0,0,0,0,0,0,6,0.9933697137256122,0.9868986238906253
Charlie Leibrandt,0,0,0,0,0,0,0,6,0.9953885458973059,0.9908822036042252
Joe Nuxhall,0,0,0,0,0,0,0,6,0.9437270477044964,0.8983264921150087
Bob Ewing,0,0,0,0,0,0,0,6,0.9790106266440506,0.9588372263115424
Larry Benton,0,0,0,0,0,0,0,6,0.9942503527995772,0.98866057645682
George Cuppy,0,0,0,0,0,0,0,6,0.9650532568924991,0.9320642471532695
Si Johnson,0,0,0,0,0,0,0,6,0.993271175794468,0.9867095879221663
Harry Staley,0,0,0,0,0,0,0,6,0.9926677430263903,0.9855025070728242
Cy Falkenberg,0,0,0,0,0,0,0,6,0.968754881120872,0.9392458621947691
Frank Smith,0,0,0,0,0,0,0,6,0.9528205321329191,0.9130844135320887
Ed Brandt,0,0,0,0,0,0,0,6,0.9934370913602351,0.987064268818084
Al Downing,0,0,0,0,0,0,0,6,0.9870063646295586,0.9744034789062855
Mike Hampton,0,0,0,0,0,0,0,6,0.9928448352887166,0.985877230232494
George Mogridge,0,0,0,0,0,0,0,6,0.9926148095418313,0.9854613820398144
Johnny Podres,0,0,0,0,0,0,0,6,0.9902077532199914,0.9806559124273062
Kevin Tapani,0,0,0,0,0,0,0,6,0.9919417720424389,0.9840643250750801
Freddy García,0,0,0,0,0,0,0,6,0.9911515616412397,0.9825375870422467
Hoyt Wilhelm,1,0,1,1,1,1,0,4,0.8317232926300347,-0.20918982080286344
Don Newcombe,0,0,0,0,0,0,0,6,0.9289141182190271,0.8686881612289952
Bob Smith,0,0,0,0,0,0,0,6,0.9933541790137501,0.9868030114127762
Roy Oswalt,0,0,0,0,0,0,0,6,0.9256960785096823,0.8635232556556053
Ray Caldwell,0,0,0,0,0,0,0,6,0.962807898612593,0.9310395646542684
Ed Whitson,0,0,0,0,0,0,0,6,0.9938498771552159,0.9878885810479092
Harvey Haddix,0,0,0,0,0,0,0,6,0.9811239567173509,0.962795188513923
Kid Carsey,0,0,0,0,0,0,0,6,0.9962055711193002,0.9924904297112613
Greg Swindell,0,0,0,0,0,0,0,6,0.9924111225058215,0.9849946035467586
Jack Billingham,0,0,0,0,0,0,0,6,0.99121783493488,0.9826570388607291
Andy Messersmith,0,0,0,0,0,0,0,6,0.944009884145017,0.893912583381616
Lefty Tyler,0,0,0,0,0,0,0,6,0.9725628320069243,0.9464840997022753
Mark Gubicza,0,0,0,0,0,0,0,6,0.9908311578156859,0.9819338414010397
Frank Kitson,0,0,0,0,0,0,0,6,0.990206009959092,0.9806463322179472
Chris Carpenter,0,0,0,0,0,0,0,6,0.9905563024767988,0.9814100751949087
Schoolboy Rowe,0,0,0,0,0,0,0,6,0.9745365885993184,0.9502460261267313
Fritz Peterson,0,0,0,0,0,0,0,6,0.9893433836474426,0.9789938125351982
Clarence Mitchell,0,0,0,0,0,0,0,6,0.9933719684782004,0.9868883613029223
Woody Williams,0,0,0,0,0,0,0,6,0.992114887208305,0.9844661256717245
Fred Toney,0,0,0,0,0,0,0,6,0.9746348545922315,0.9504533174910819
Jon Lieber,0,0,0,0,0,0,0,6,0.9933068211877926,0.9867557504795686
Pedro Astacio,0,0,0,0,0,0,0,6,0.9943976542126466,0.9889622101258532
Dutch Leonard (leonadu01),0,0,0,0,0,0,0,6,0.9661686542674092,0.9346246232245569
Todd Stottlemyre,0,0,0,0,0,0,0,6,0.9939692940025894,0.988115731774663
Mike Krukow,0,0,0,0,0,0,0,6,0.9935356736620168,0.9872676640961627
Ray Burris,0,0,0,0,0,0,0,6,0.99580230459211,0.991699791052259
Dennis Leonard,0,0,0,0,0,0,0,6,0.9848209112354785,0.9702261310067102
Sid Hudson,0,0,0,0,0,0,0,6,0.9947248298615857,0.989604357585851
George Zettlein,0,0,0,0,0,0,0,6,0.9862007254347239,0.9729540274310983
Tommy Thomas,0,0,0,0,0,0,0,6,0.994142353268051,0.9884585394502136
Mike García,0,0,0,0,0,0,0,6,0.9836394474503186,0.9677275623381911
Bill Singer,0,0,0,0,0,0,0,6,0.984142377463884,0.9687809665563414
Joe Dobson,0,0,0,0,0,0,0,6,0.9877358522901716,0.9758293488357731
Syl Johnson,0,0,0,0,0,0,0,6,0.9931524515168005,0.9865230234065154
Darryl Kile,0,0,0,0,0,0,0,6,0.9940563806306678,0.988302575166124
Frank Lary,0,0,0,0,0,0,0,6,0.9898835527174308,0.9800274933292338
Rick Honeycutt,0,0,0,0,0,0,0,6,0.9904416001856559,0.9811764780504509
Cliff Lee,0,0,0,0,0,0,0,6,0.9742857795051446,0.949881982305831
Harry Gumbert,0,0,0,0,0,0,0,6,0.9894650375218915,0.9791875314727817
Dick Ellsworth,0,0,0,0,0,0,0,6,0.9922994297183817,0.9847918890691979
Joaquín Andújar,0,0,0,0,0,0,0,6,0.9937542040798858,0.9876609116683527
Aaron Sele,0,0,0,0,0,0,0,6,0.9943644324576765,0.9889065483367117
Sonny Siebert,0,0,0,0,0,0,0,6,0.9814609967792346,0.9637441871040963
Ken Raffensberger,0,0,0,0,0,0,0,6,0.9909781127413048,0.9821210760960654
Jon Garland,0,0,0,0,0,0,0,6,0.9945630510753345,0.9892850787629296
Candy Cummings,0,0,0,0,0,0,0,6,0.9762370448339044,0.9536712199102366
John Denny,0,0,0,0,0,0,0,6,0.9945278457236335,0.989198313770027
Dean Chance,0,0,0,0,0,0,0,6,0.9598511065014087,0.9227548337340256
Scott McGregor,0,0,0,0,0,0,0,6,0.9908036101254943,0.9818671592192953
Lindy McDaniel,0,0,0,0,0,0,0,6,0.9104514412125725,0.8385708661450901
Dock Ellis,0,0,0,0,0,0,0,6,0.9914343132293718,0.9831358646749426
Ken Forsch,0,0,0,0,0,0,0,6,0.9917723315251271,0.9838050106499098
Johnny Sain,0,0,0,0,0,0,0,6,0.9795957998569711,0.9605822125673896
Dutch Ruether,0,0,0,0,0,0,0,6,0.9923020146412357,0.9848055532484498
Mike Boddicker,0,0,0,0,0,0,0,6,0.9931296853903423,0.986504734371287
Don Cardwell,0,0,0,0,0,0,0,6,0.9932756418673971,0.986798337047774
Pat Dobson,0,0,0,0,0,0,0,6,0.990314563536281,0.9809222105432522
Rip Sewell,0,0,0,0,0,0,0,6,0.9782318529503876,0.957788324930636
Bob Purkey,0,0,0,0,0,0,0,6,0.9927551282194788,0.985747778005568
Van Mungo,0,0,0,0,0,0,0,6,0.9873113930896472,0.9749798216383317
Pete Donohue,0,0,0,0,0,0,0,6,0.9900828312751714,0.9803811980297378
Hooks Wiltse,0,0,0,0,0,0,0,6,0.9147042544358727,0.8447333233635206
Nelson Briles,0,0,0,0,0,0,0,6,0.9905987993577424,0.9814607899653686
Dick Ruthven,0,0,0,0,0,0,0,6,0.9941842056561535,0.988548582378014
Mike Witt,0,0,0,0,0,0,0,6,0.9928540243216929,0.9859576294045246
Tom Gordon,0,0,0,0,0,0,0,6,0.9670190999460497,0.9373319004356785
Howie Pollet,0,0,0,0,0,0,0,6,0.9919319217546594,0.9841172888202908
Milt Gaston,0,0,0,0,0,0,0,6,0.9953550448606231,0.9908296784485248
Johnny Vander Meer,0,0,0,0,0,0,0,6,0.986675716767147,0.9737453342021359
Toad Ramsey,0,0,0,0,0,0,0,6,0.982476321884907,0.965533163708415
Esteban Loaiza,0,0,0,0,0,0,0,6,0.9944299624823206,0.9890178347187462
Dave Roberts,0,0,0,0,0,0,0,6,0.9949126462180208,0.9899556706161551
Jack Taylor (tayloja01),0,0,0,0,0,0,0,6,0.9930725849196733,0.986309818154448
Matt Cain,0,0,0,0,0,0,0,6,0.9908548123449129,0.9820508550524377
Howie Camnitz,0,0,0,0,0,0,0,6,0.9777608882816838,0.9564896274750717
Dick McBride,0,0,0,0,0,0,0,6,0.9727825572322809,0.9470813609988801
Gary Peters,0,0,0,0,0,0,0,6,0.9896631045052876,0.9796376247179414
Dan Petry,0,0,0,0,0,0,0,6,0.993849483996928,0.9878893911891335
Ron Kline,0,0,0,0,0,0,0,6,0.9924920052444514,0.9851402164988298
Pat Hentgen,0,0,0,0,0,0,0,6,0.9937144021644215,0.9876147604993836
Willie Sudhoff,0,0,0,0,0,0,0,6,0.9925480385892193,0.985299181990984
R.A. Dickey,0,0,0,0,0,0,0,6,0.9938551895984863,0.9879206534536586
Danny Jackson,0,0,0,0,0,0,0,6,0.9942336206681488,0.988648784052589
Mike Scott,0,0,0,0,0,0,0,6,0.9906592467603789,0.9815701367921603
Firpo Marberry,0,0,0,0,0,0,0,6,0.9726503815274977,0.9470622851513784
Jered Weaver,0,0,0,0,0,0,0,6,0.9830998464832135,0.9668233919694896
Fritz Ostermueller,0,0,0,0,0,0,0,6,0.9939441461892723,0.9880832387028503
Jim Barr,0,0,0,0,0,0,0,6,0.9929489451310789,0.9861574823695496
Steve Gromek,0,0,0,0,0,0,0,6,0.9878790779396884,0.976115087153454
Casey Patten,0,0,0,0,0,0,0,6,0.9924762469951328,0.9851833728187915
Jaime Navarro,0,0,0,0,0,0,0,6,0.9943844911630048,0.9889447518842504
Bob Harmon,0,0,0,0,0,0,0,6,0.9918193750121335,0.9838735426859645
Bud Black,0,0,0,0,0,0,0,6,0.993188756738038,0.9866334893251185
Sherry Smith,0,0,0,0,0,0,0,6,0.9883782794273129,0.977125894104303
Earl Wilson,0,0,0,0,0,0,0,6,0.992153887415577,0.9845570955505719
Josh Beckett,0,0,0,0,0,0,0,6,0.989809010547417,0.97997908143669
Jack Russell,0,0,0,0,0,0,0,6,0.9962244814972188,0.9925272569442475
Jack Sanford,0,0,0,0,0,0,0,6,0.9894166225439944,0.9791131473730986
Dick Rudolph,0,0,0,0,0,0,0,6,0.948383628478367,0.9014612516095619
Larry Gura,0,0,0,0,0,0,0,6,0.9946542960182442,0.9894509250217242
Togie Pittinger,0,0,0,0,0,0,0,6,0.9888896458518106,0.9780562931375871
Dave Goltz,0,0,0,0,0,0,0,6,0.9913789587513681,0.98299952769634
Ross Grimsley,0,0,0,0,0,0,0,6,0.9920083661444266,0.9842093949234884
Marty Pattin,0,0,0,0,0,0,0,6,0.9909158648341401,0.9821396980684015
Jamey Wright,0,0,0,0,0,0,0,6,0.9943123709572875,0.9888053131087079
Juan Pizarro,0,0,0,0,0,0,0,6,0.9852106134886781,0.970904687018027
Jeff Fassero,0,0,0,0,0,0,0,6,0.9895970068788996,0.9794896547368115
Noodles Hahn,0,0,0,0,0,0,0,6,0.9008053466397662,0.8181443551402788
Vern Kennedy,0,0,0,0,0,0,0,6,0.9950547496623462,0.9902445954808274
Johan Santana,0,0,1,0,0,0,0,5,0.857500247956061,0.2531119405727626
Dick Donovan,0,0,0,0,0,0,0,6,0.9865555987579437,0.9734773489199097
Milt Wilcox,0,0,0,0,0,0,0,6,0.9944707969224641,0.9890871702716512
Gary Bell,0,0,0,0,0,0,0,6,0.989584369949534,0.9795013734114195
Denny Galehouse,0,0,0,0,0,0,0,6,0.9934388187854637,0.9870988497329513
Bill Dietrich,0,0,0,0,0,0,0,6,0.9948332400801901,0.9898135429729696
Hal Carlson,0,0,0,0,0,0,0,6,0.9921539488729053,0.9845037612164388
Joe Horlen,0,0,0,0,0,0,0,6,0.9909607458912731,0.9822602172101886
Steve Barber,0,0,0,0,0,0,0,6,0.992203030675006,0.9846111713544471
Dave Foutz,0,0,0,0,0,0,0,6,0.9421055729164244,0.8923060914191856
Doc Medich,0,0,0,0,0,0,0,6,0.9926775100374076,0.9855733340797713
Ad Gumbert,0,0,0,0,0,0,0,6,0.9959701796409061,0.992021409106438
Jason Schmidt,0,0,0,0,0,0,0,6,0.9919625914833944,0.9841569415018944
Chan Ho Park,0,0,0,0,0,0,0,6,0.9937305293673888,0.9876828183405945
Johnny Antonelli,0,0,0,0,0,0,0,6,0.9893162284990895,0.9789064311086083
Walt Terrell,0,0,0,0,0,0,0,6,0.9934284672267667,0.987079772640016
Ted Lilly,0,0,0,0,0,0,0,6,0.9931460724948792,0.9865487239548099
Gerry Staley,0,0,0,0,0,0,0,6,0.9946914919907002,0.9895317898844964
Hideo Nomo,0,0,0,0,0,0,0,6,0.9903698727118541,0.9810220994715616
Jack Fisher,0,0,0,0,0,0,0,6,0.9931997532162521,0.9865978389055027
Ken Hill,0,0,0,0,0,0,0,6,0.9939209975393105,0.9880474713812468
Jason Marquis,0,0,0,0,0,0,0,6,0.9939081128023233,0.9880282293645634
Johnny Klippstein,0,0,0,0,0,0,0,6,0.9939519118742468,0.9880971699927606
Dizzy Dean,1,0,0,0,0,0,0,0,0.8622435217138781,-1.5149604363765334
Elden Auker,0,0,0,0,0,0,0,6,0.9940247954952133,0.9882179153264086
Bill Monbouquette,0,0,0,0,0,0,0,6,0.9879894208657327,0.9763488441094227
Edwin Jackson,0,0,0,0,0,0,0,6,0.9948311961549351,0.989802964806732
Pete Harnisch,0,0,0,0,0,0,0,6,0.992685101334838,0.9856632871563228
Carlos Zambrano,0,0,0,0,0,0,0,6,0.9827453788858628,0.9660663618810306
Don Robinson,0,0,0,0,0,0,0,6,0.9912490929023764,0.9828087082205147
Miguel Batista,0,0,0,0,0,0,0,6,0.9942889873251883,0.9887581107996368
Ray Kremer,0,0,0,0,0,0,0,6,0.9868032430564907,0.973934889152689
Charles Nagy,0,0,0,0,0,0,0,6,0.9948079780476861,0.989757037771819
Kirby Higbe,0,0,0,0,0,0,0,6,0.9923126189816118,0.9848810507069053
Sam Gray,0,0,0,0,0,0,0,6,0.9944049877481573,0.9889798175388732
