O*NET-SOC Code,Title,Alias
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Biofuels/Biodiesel Technology & Product Development Managers
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Biofuels/Biodiesel Technology and Product Development
11-9051.00,Food Service Managers,management job
11-9051.00,Food Service Managers,Food Service Manager
11-9051.00,Food Service Managers,Food Service
11-9071.00,Gambling Managers,Gambling Manager
11-9071.00,Gambling Managers,management job
11-9071.00,Gambling Managers,Gambling
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",management job
11-9072.00,"Entertainment and Recreation Managers, Except Gambling","Entertainment & Recreation Managers, Except Gambling"
11-9081.00,Lodging Managers,management job
11-9081.00,Lodging Managers,Lodging Manager
11-9081.00,Lodging Managers,Lodging
11-9111.00,Medical and Health Services Managers,Medical and Health Services
11-9111.00,Medical and Health Services Managers,management job
11-9111.00,Medical and Health Services Managers,Medical and Health Services Manager
11-9111.00,Medical and Health Services Managers,Medical & Health Services Managers
11-9121.00,Natural Sciences Managers,management job
11-9121.00,Natural Sciences Managers,Natural Sciences Manager
11-9121.00,Natural Sciences Managers,Natural Sciences
11-9121.01,Clinical Research Coordinators,Clinical Research Coordinator
11-9121.02,Water Resource Specialists,Water Resource
11-9121.02,Water Resource Specialists,Water Resource Specialist
11-9131.00,Postmasters and Mail Superintendents,Postmasters & Mail Superintendents
11-9131.00,Postmasters and Mail Superintendents,Postmasters and Mail Superintendent
11-9141.00,"Property, Real Estate, and Community Association Managers",management job
11-9141.00,"Property, Real Estate, and Community Association Managers","Property, Real Estate, & Community Association Managers"
11-9141.00,"Property, Real Estate, and Community Association Managers","Property, Real Estate, and Community Association Manager"
11-9141.00,"Property, Real Estate, and Community Association Managers","Property, Real Estate, and Community Association"
11-9151.00,Social and Community Service Managers,Social and Community Service Manager
11-9151.00,Social and Community Service Managers,Social and Community Service
11-9151.00,Social and Community Service Managers,Social & Community Service Managers
11-9151.00,Social and Community Service Managers,management job
11-9161.00,Emergency Management Directors,Emergency Management Director
11-9171.00,Funeral Home Managers,management job
11-9171.00,Funeral Home Managers,Funeral Home Manager
11-9171.00,Funeral Home Managers,Funeral Home
11-9179.00,"Personal Service Managers, All Other",management job
11-9179.01,Fitness and Wellness Coordinators,Fitness and Wellness Coordinator
11-9179.01,Fitness and Wellness Coordinators,Fitness & Wellness Coordinators
11-9179.02,Spa Managers,Spa Manager
11-9179.02,Spa Managers,management job
11-9179.02,Spa Managers,Spa
11-9199.00,"Managers, All Other",management job
11-9199.01,Regulatory Affairs Managers,management job
11-9199.01,Regulatory Affairs Managers,Regulatory Affairs
11-9199.01,Regulatory Affairs Managers,Regulatory Affairs Manager
11-9199.02,Compliance Managers,management job
11-9199.02,Compliance Managers,Compliance Manager
11-9199.02,Compliance Managers,Compliance
11-9199.08,Loss Prevention Managers,Loss Prevention Manager
11-9199.08,Loss Prevention Managers,management job
11-9199.08,Loss Prevention Managers,Loss Prevention
11-9199.09,Wind Energy Operations Managers,Wind Energy Operations Manager
11-9199.09,Wind Energy Operations Managers,management job
11-9199.09,Wind Energy Operations Managers,Wind Energy Operations
11-9199.10,Wind Energy Development Managers,Wind Energy Development Manager
11-9199.10,Wind Energy Development Managers,management job
11-9199.10,Wind Energy Development Managers,Wind Energy Development
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,Brownfield Redevelopment Specialists & Site Managers
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,management job
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,Brownfield Redevelopment Specialists and Site Manager
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,Brownfield Redevelopment Specialists and Site
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",management job
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes","Agents & Business Managers of Artists, Performers, & Athletes"
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes","Agents and Business Managers of Artists, Performers, and Athlete"
13-1021.00,"Buyers and Purchasing Agents, Farm Products","Buyers & Purchasing Agents, Farm Products"
13-1021.00,"Buyers and Purchasing Agents, Farm Products","Buyers and Purchasing Agents, Farm Product"
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products","Wholesale & Retail Buyers, Except Farm Products"
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products","Wholesale and Retail Buyers, Except Farm Product"
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products","Purchasing Agents, Except Wholesale, Retail, & Farm Products"
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products","Purchasing Agents, Except Wholesale, Retail, and Farm Product"
13-1031.00,"Claims Adjusters, Examiners, and Investigators","Claims Adjusters, Examiners, & Investigators"
13-1031.00,"Claims Adjusters, Examiners, and Investigators","Claims Adjusters, Examiners, and Investigator"
13-1041.00,Compliance Officers,Compliance Officer
13-1041.00,Compliance Officers,Compliance
13-1041.01,Environmental Compliance Inspectors,Environmental Compliance Inspector
13-1041.03,Equal Opportunity Representatives and Officers,Equal Opportunity Representatives and
13-1041.03,Equal Opportunity Representatives and Officers,Equal Opportunity Representatives & Officers
13-1041.03,Equal Opportunity Representatives and Officers,Equal Opportunity Representatives and Officer
13-1041.04,Government Property Inspectors and Investigators,Government Property Inspectors and Investigator
13-1041.04,Government Property Inspectors and Investigators,Government Property Inspectors & Investigators
13-1041.06,Coroners,Coroner
13-1041.07,Regulatory Affairs Specialists,Regulatory Affairs Specialist
13-1041.07,Regulatory Affairs Specialists,Regulatory Affairs
13-1041.08,Customs Brokers,Customs Broker
13-1051.00,Cost Estimators,Cost Estimator
13-1071.00,Human Resources Specialists,HR Specialist
13-1071.00,Human Resources Specialists,Human Resources
13-1071.00,Human Resources Specialists,Human Resources Specialist
13-1074.00,Farm Labor Contractors,Farm Labor Contractor
13-1075.00,Labor Relations Specialists,Labor Relations Specialist
13-1075.00,Labor Relations Specialists,Labor Relations
13-1081.00,Logisticians,Logistician
13-1081.01,Logistics Engineers,Logistics Engineer
13-1081.02,Logistics Analysts,Logistics Analyst
13-1081.02,Logistics Analysts,analysis job
13-1082.00,Project Management Specialists,Project Management Specialist
13-1082.00,Project Management Specialists,Project Management
13-1111.00,Management Analysts,analysis job
13-1111.00,Management Analysts,Management Analyst
13-1121.00,"Meeting, Convention, and Event Planners","Meeting, Convention, and Event Planner"
13-1121.00,"Meeting, Convention, and Event Planners","Meeting, Convention, & Event Planners"
13-1131.00,Fundraisers,Fundraiser
13-1141.00,"Compensation, Benefits, and Job Analysis Specialists","Compensation, Benefits, and Job Analysis"
13-1141.00,"Compensation, Benefits, and Job Analysis Specialists","Compensation, Benefits, and Job Analysis Specialist"
13-1141.00,"Compensation, Benefits, and Job Analysis Specialists","Compensation, Benefits, & Job Analysis Specialists"
13-1151.00,Training and Development Specialists,Training & Development Specialists
13-1151.00,Training and Development Specialists,Training and Development Specialist
13-1151.00,Training and Development Specialists,Training and Development
13-1161.00,Market Research Analysts and Marketing Specialists,Market Research Analysts & Marketing Specialists
13-1161.00,Market Research Analysts and Marketing Specialists,Market Research Analysts and Marketing
13-1161.00,Market Research Analysts and Marketing Specialists,analysis job
13-1161.00,Market Research Analysts and Marketing Specialists,Market Research Analysts and Marketing Specialist
13-1161.01,Search Marketing Strategists,Search Marketing Strategist
13-1199.04,Business Continuity Planners,Business Continuity Planner
13-1199.05,Sustainability Specialists,Sustainability
13-1199.05,Sustainability Specialists,Sustainability Specialist
13-1199.06,Online Merchants,Online Merchant
13-1199.07,Security Management Specialists,Security Management
13-1199.07,Security Management Specialists,Security Management Specialist
13-2011.00,Accountants and Auditors,Accountants & Auditors
13-2011.00,Accountants and Auditors,Accountants and Auditor
13-2022.00,Appraisers of Personal and Business Property,Appraisers of Personal & Business Property
13-2023.00,Appraisers and Assessors of Real Estate,Appraisers & Assessors of Real Estate
13-2031.00,Budget Analysts,analysis job
13-2031.00,Budget Analysts,Budget Analyst
13-2041.00,Credit Analysts,Credit Analyst
13-2041.00,Credit Analysts,analysis job
13-2051.00,Financial and Investment Analysts,Financial & Investment Analysts
13-2051.00,Financial and Investment Analysts,analysis job
13-2051.00,Financial and Investment Analysts,Financial and Investment Analyst
13-2052.00,Personal Financial Advisors,Personal Financial Advisor
13-2053.00,Insurance Underwriters,Insurance Underwriter
13-2054.00,Financial Risk Specialists,Financial Risk Specialist
13-2054.00,Financial Risk Specialists,Financial Risk
13-2061.00,Financial Examiners,Financial Examiner
13-2071.00,Credit Counselors,Credit Counselor
13-2072.00,Loan Officers,Loan
13-2072.00,Loan Officers,Loan Officer
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents","Tax Examiners and Collectors, and Revenue Agent"
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents","Tax Examiners & Collectors, & Revenue Agents"
13-2082.00,Tax Preparers,Tax Preparer
13-2099.01,Financial Quantitative Analysts,Financial Quantitative Analyst
13-2099.01,Financial Quantitative Analysts,analysis job
13-2099.04,"Fraud Examiners, Investigators and Analysts","Fraud Examiners, Investigators & Analysts"
13-2099.04,"Fraud Examiners, Investigators and Analysts","Fraud Examiners, Investigators and Analyst"
13-2099.04,"Fraud Examiners, Investigators and Analysts",analysis job
15-1211.00,Computer Systems Analysts,Computer Systems Analyst
15-1211.00,Computer Systems Analysts,analysis job
15-1211.01,Health Informatics Specialists,Health Informatics
15-1211.01,Health Informatics Specialists,Health Informatics Specialist
15-1212.00,Information Security Analysts,analysis job
15-1212.00,Information Security Analysts,InfoSec Analyst
15-1212.00,Information Security Analysts,Information Security Analyst
15-1212.00,Information Security Analysts,Cybersecurity Analyst
15-1221.00,Computer and Information Research Scientists,Computer & Information Research Scientists
15-1221.00,Computer and Information Research Scientists,Computer and Information Research Scientist
15-1231.00,Computer Network Support Specialists,Computer Network Support Specialist
15-1231.00,Computer Network Support Specialists,Computer Network Support
15-1232.00,Computer User Support Specialists,Computer User Support
15-1232.00,Computer User Support Specialists,Computer User Support Specialist
15-1241.00,Computer Network Architects,Computer Network Architect
15-1241.01,Telecommunications Engineering Specialists,Telecommunications Engineering
15-1241.01,Telecommunications Engineering Specialists,Telecommunications Engineering Specialist
15-1242.00,Database Administrators,Database Administrator
15-1243.00,Database Architects,Database Architect
15-1243.01,Data Warehousing Specialists,Data Warehousing
15-1243.01,Data Warehousing Specialists,Data Warehousing Specialist
15-1244.00,Network and Computer Systems Administrators,Network & Computer Systems Administrators
15-1244.00,Network and Computer Systems Administrators,Network and Computer Systems Administrator
15-1251.00,Computer Programmers,Computer Programmer
15-1252.00,Software Developers,tech job
15-1252.00,Software Developers,Dev
15-1252.00,Software Developers,Software Engineer
15-1252.00,Software Developers,coding job
15-1252.00,Software Developers,Programmer
15-1252.00,Software Developers,Coder
15-1252.00,Software Developers,Software Developer
15-1253.00,Software Quality Assurance Analysts and Testers,Software Quality Assurance Analysts and Tester
15-1253.00,Software Quality Assurance Analysts and Testers,tech job
15-1253.00,Software Quality Assurance Analysts and Testers,coding job
15-1253.00,Software Quality Assurance Analysts and Testers,analysis job
15-1253.00,Software Quality Assurance Analysts and Testers,Software Quality Assurance Analysts & Testers
15-1254.00,Web Developers,Web Developer
15-1255.00,Web and Digital Interface Designers,Web & Digital Interface Designers
15-1255.00,Web and Digital Interface Designers,Web and Digital Interface Designer
15-1255.01,Video Game Designers,Video Game Designer
15-1299.01,Web Administrators,Web Administrator
15-1299.02,Geographic Information Systems Technologists and Technicians,Geographic Information Systems Technologists & Technicians
15-1299.02,Geographic Information Systems Technologists and Technicians,Geographic Information Systems Technologists and
15-1299.02,Geographic Information Systems Technologists and Technicians,Geographic Information Systems Technologists and Technician
15-1299.03,Document Management Specialists,Document Management
15-1299.03,Document Management Specialists,Document Management Specialist
15-1299.04,Penetration Testers,Penetration Tester
15-1299.05,Information Security Engineers,Information Security Engineer
15-1299.06,Digital Forensics Analysts,Digital Forensics Analyst
15-1299.06,Digital Forensics Analysts,analysis job
15-1299.07,Blockchain Engineers,Blockchain Engineer
15-1299.08,Computer Systems Engineers/Architects,Computer Systems Engineers/Architect
15-1299.09,Information Technology Project Managers,Information Technology Project Manager
15-1299.09,Information Technology Project Managers,Information Technology Project
15-1299.09,Information Technology Project Managers,management job
15-2011.00,Actuaries,Actuary
15-2021.00,Mathematicians,Mathematician
15-2031.00,Operations Research Analysts,analysis job
15-2031.00,Operations Research Analysts,Operations Research Analyst
15-2041.00,Statisticians,Statistician
15-2041.01,Biostatisticians,Biostatistician
15-2051.00,Data Scientists,Data Scientist
15-2051.01,Business Intelligence Analysts,analysis job
15-2051.01,Business Intelligence Analysts,Business Intelligence Analyst
15-2051.02,Clinical Data Managers,Clinical Data Manager
15-2051.02,Clinical Data Managers,management job
15-2051.02,Clinical Data Managers,Clinical Data
15-2099.01,Bioinformatics Technicians,Bioinformatics Technician
15-2099.01,Bioinformatics Technicians,Bioinformatics
17-1011.00,"Architects, Except Landscape and Naval","Architects, Except Landscape & Naval"
17-1012.00,Landscape Architects,Landscape Architect
17-1021.00,Cartographers and Photogrammetrists,Cartographers & Photogrammetrists
17-1021.00,Cartographers and Photogrammetrists,Cartographers and Photogrammetrist
17-1022.00,Surveyors,Surveyor
17-1022.01,Geodetic Surveyors,Geodetic Surveyor
17-2011.00,Aerospace Engineers,Aerospace Engineer
17-2021.00,Agricultural Engineers,Agricultural Engineer
17-2031.00,Bioengineers and Biomedical Engineers,Bioengineers & Biomedical Engineers
17-2031.00,Bioengineers and Biomedical Engineers,Bioengineers and Biomedical Engineer
17-2041.00,Chemical Engineers,Chemical Engineer
17-2051.00,Civil Engineers,Civil Engineer
17-2051.01,Transportation Engineers,Transportation Engineer
17-2051.02,Water/Wastewater Engineers,Water/Wastewater Engineer
17-2061.00,Computer Hardware Engineers,Computer Hardware Engineer
17-2071.00,Electrical Engineers,Electrical Engineer
17-2072.01,Radio Frequency Identification Device Specialists,Radio Frequency Identification Device Specialist
17-2072.01,Radio Frequency Identification Device Specialists,Radio Frequency Identification Device
17-2081.00,Environmental Engineers,Environmental Engineer
17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors","Health and Safety Engineers, Except Mining Safety Engineers and Inspector"
17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors","Health & Safety Engineers, Except Mining Safety Engineers & Inspectors"
17-2111.02,Fire-Prevention and Protection Engineers,Fire-Prevention & Protection Engineers
17-2111.02,Fire-Prevention and Protection Engineers,Fire-Prevention and Protection Engineer
17-2112.00,Industrial Engineers,Industrial Engineer
17-2112.01,Human Factors Engineers and Ergonomists,Human Factors Engineers and Ergonomist
17-2112.01,Human Factors Engineers and Ergonomists,Human Factors Engineers & Ergonomists
17-2112.02,Validation Engineers,Validation Engineer
17-2112.03,Manufacturing Engineers,Manufacturing Engineer
17-2121.00,Marine Engineers and Naval Architects,Marine Engineers & Naval Architects
17-2121.00,Marine Engineers and Naval Architects,Marine Engineers and Naval Architect
17-2131.00,Materials Engineers,Materials Engineer
17-2141.00,Mechanical Engineers,Mechanical Engineer
17-2141.01,Fuel Cell Engineers,Fuel Cell Engineer
17-2141.02,Automotive Engineers,Automotive Engineer
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers","Mining & Geological Engineers, Including Mining Safety Engineers"
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers","Mining and Geological Engineers, Including Mining Safety Engineer"
17-2161.00,Nuclear Engineers,Nuclear Engineer
17-2171.00,Petroleum Engineers,Petroleum Engineer
17-2199.03,"Energy Engineers, Except Wind and Solar","Energy Engineers, Except Wind & Solar"
17-2199.05,Mechatronics Engineers,Mechatronics Engineer
17-2199.06,Microsystems Engineers,Microsystems Engineer
17-2199.07,Photonics Engineers,Photonics Engineer
17-2199.08,Robotics Engineers,Robotics Engineer
17-2199.09,Nanosystems Engineers,Nanosystems Engineer
17-2199.10,Wind Energy Engineers,Wind Energy Engineer
17-2199.11,Solar Energy Systems Engineers,Solar Energy Systems Engineer
17-3011.00,Architectural and Civil Drafters,Architectural and Civil Drafter
17-3011.00,Architectural and Civil Drafters,Architectural & Civil Drafters
17-3012.00,Electrical and Electronics Drafters,Electrical & Electronics Drafters
17-3012.00,Electrical and Electronics Drafters,Electrical and Electronics Drafter
17-3013.00,Mechanical Drafters,Mechanical Drafter
17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,Aerospace Engineering and Operations Technologists and
17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,Aerospace Engineering and Operations Technologists and Technician
17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,Aerospace Engineering & Operations Technologists & Technicians
17-3022.00,Civil Engineering Technologists and Technicians,Civil Engineering Technologists and Technician
17-3022.00,Civil Engineering Technologists and Technicians,Civil Engineering Technologists and
17-3022.00,Civil Engineering Technologists and Technicians,Civil Engineering Technologists & Technicians
17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,Electrical & Electronic Engineering Technologists & Technicians
17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,Electrical and Electronic Engineering Technologists and Technician
17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,Electrical and Electronic Engineering Technologists and
17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,Electro-Mechanical and Mechatronics Technologists and
17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,Electro-Mechanical & Mechatronics Technologists & Technicians
17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,Electro-Mechanical and Mechatronics Technologists and Technician
17-3024.01,Robotics Technicians,Robotics
17-3024.01,Robotics Technicians,Robotics Technician
17-3025.00,Environmental Engineering Technologists and Technicians,Environmental Engineering Technologists and Technician
17-3025.00,Environmental Engineering Technologists and Technicians,Environmental Engineering Technologists & Technicians
17-3025.00,Environmental Engineering Technologists and Technicians,Environmental Engineering Technologists and
17-3026.00,Industrial Engineering Technologists and Technicians,Industrial Engineering Technologists and Technician
17-3026.00,Industrial Engineering Technologists and Technicians,Industrial Engineering Technologists & Technicians
17-3026.00,Industrial Engineering Technologists and Technicians,Industrial Engineering Technologists and
17-3026.01,Nanotechnology Engineering Technologists and Technicians,Nanotechnology Engineering Technologists and Technician
17-3026.01,Nanotechnology Engineering Technologists and Technicians,Nanotechnology Engineering Technologists and
17-3026.01,Nanotechnology Engineering Technologists and Technicians,Nanotechnology Engineering Technologists & Technicians
17-3027.00,Mechanical Engineering Technologists and Technicians,Mechanical Engineering Technologists & Technicians
17-3027.00,Mechanical Engineering Technologists and Technicians,Mechanical Engineering Technologists and Technician
17-3027.00,Mechanical Engineering Technologists and Technicians,Mechanical Engineering Technologists and
17-3027.01,Automotive Engineering Technicians,Automotive Engineering
17-3027.01,Automotive Engineering Technicians,Automotive Engineering Technician
17-3028.00,Calibration Technologists and Technicians,Calibration Technologists and
17-3028.00,Calibration Technologists and Technicians,Calibration Technologists and Technician
17-3028.00,Calibration Technologists and Technicians,Calibration Technologists & Technicians
17-3029.00,"Engineering Technologists and Technicians, Except Drafters, All Other","Engineering Technologists & Technicians, Except Drafters, All Other"
17-3029.01,Non-Destructive Testing Specialists,Non-Destructive Testing
17-3029.01,Non-Destructive Testing Specialists,Non-Destructive Testing Specialist
17-3029.08,Photonics Technicians,Photonics Technician
17-3029.08,Photonics Technicians,Photonics
17-3031.00,Surveying and Mapping Technicians,Surveying and Mapping Technician
17-3031.00,Surveying and Mapping Technicians,Surveying & Mapping Technicians
17-3031.00,Surveying and Mapping Technicians,Surveying and Mapping
19-1011.00,Animal Scientists,Animal Scientist
19-1012.00,Food Scientists and Technologists,Food Scientists and Technologist
19-1012.00,Food Scientists and Technologists,Food Scientists & Technologists
19-1013.00,Soil and Plant Scientists,Soil and Plant Scientist
19-1013.00,Soil and Plant Scientists,Soil & Plant Scientists
19-1021.00,Biochemists and Biophysicists,Biochemists and Biophysicist
19-1021.00,Biochemists and Biophysicists,Biochemists & Biophysicists
19-1022.00,Microbiologists,Microbiologist
19-1023.00,Zoologists and Wildlife Biologists,Zoologists & Wildlife Biologists
19-1023.00,Zoologists and Wildlife Biologists,Zoologists and Wildlife Biologist
19-1029.01,Bioinformatics Scientists,Bioinformatics Scientist
19-1029.02,Molecular and Cellular Biologists,Molecular and Cellular Biologist
19-1029.02,Molecular and Cellular Biologists,Molecular & Cellular Biologists
19-1029.03,Geneticists,Geneticist
19-1029.04,Biologists,Biologist
19-1031.00,Conservation Scientists,Conservation Scientist
19-1031.02,Range Managers,management job
19-1031.02,Range Managers,Range Manager
19-1031.02,Range Managers,Range
19-1031.03,Park Naturalists,Park Naturalist
19-1032.00,Foresters,Forester
19-1041.00,Epidemiologists,Epidemiologist
19-1042.00,"Medical Scientists, Except Epidemiologists","Medical Scientists, Except Epidemiologist"
19-2011.00,Astronomers,Astronomer
19-2012.00,Physicists,Physicist
19-2021.00,Atmospheric and Space Scientists,Atmospheric and Space Scientist
19-2021.00,Atmospheric and Space Scientists,Atmospheric & Space Scientists
19-2031.00,Chemists,Chemist
19-2032.00,Materials Scientists,Materials Scientist
19-2041.00,"Environmental Scientists and Specialists, Including Health","Environmental Scientists & Specialists, Including Health"
19-2041.01,Climate Change Policy Analysts,analysis job
19-2041.01,Climate Change Policy Analysts,Climate Change Policy Analyst
19-2041.02,Environmental Restoration Planners,Environmental Restoration Planner
19-2041.03,Industrial Ecologists,Industrial Ecologist
19-2042.00,"Geoscientists, Except Hydrologists and Geographers","Geoscientists, Except Hydrologists & Geographers"
19-2042.00,"Geoscientists, Except Hydrologists and Geographers","Geoscientists, Except Hydrologists and Geographer"
19-2043.00,Hydrologists,Hydrologist
19-2099.01,Remote Sensing Scientists and Technologists,Remote Sensing Scientists and Technologist
19-2099.01,Remote Sensing Scientists and Technologists,Remote Sensing Scientists & Technologists
19-3011.00,Economists,Economist
19-3011.01,Environmental Economists,Environmental Economist
19-3022.00,Survey Researchers,Survey Researcher
19-3032.00,Industrial-Organizational Psychologists,Industrial-Organizational Psychologist
19-3033.00,Clinical and Counseling Psychologists,Clinical and Counseling Psychologist
19-3033.00,Clinical and Counseling Psychologists,Clinical & Counseling Psychologists
19-3034.00,School Psychologists,School Psychologist
19-3039.02,Neuropsychologists,Neuropsychologist
19-3039.03,Clinical Neuropsychologists,Clinical Neuropsychologist
19-3041.00,Sociologists,Sociologist
