time_spent,first_deposit_amount,user_id,churned,risk_tolerance_high,risk_tolerance_low,risk_tolerance_medium,investment_experience_extensive,investment_experience_good,investment_experience_limited,investment_experience_none,liquidity_needs_not_important,liquidity_needs_somewhat_important,liquidity_needs_very_important,platform_Android,platform_both,platform_iOS,instrument_type_first_traded_adr,instrument_type_first_traded_etp,instrument_type_first_traded_mlp,instrument_type_first_traded_other,instrument_type_first_traded_reit,instrument_type_first_traded_stock,time_horizon_long,time_horizon_medium,time_horizon_short,first_trade,last_trade,trading_span,total_trades,time_per_trade,trades_per_day,max_daily_change,min_daily_change,max_daily_abs_change,mean_daily_change,balance_on_last_active_day,total_active_days
33.1294166667,40.0,895044c23edc821881e87da749c01034,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,2016-08-18,2017-08-17,364,190,0.17436535087736843,1.9157894736842105,79.22,-76.3,79.22,0.1549090909090909,81.22,190
16.5735166667,200.0,458b1d95441ced242949deefe8e4b638,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,2016-08-18,2017-08-17,364,252,0.06576792328055556,1.4444444444444444,385.92,-384.27,385.92,0.16532967032967036,382.52,252
10.0083666667,25.0,c7936f653d293479e034865db9bb932f,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,2016-08-18,2017-08-17,364,252,0.039715740740873015,1.4444444444444444,40.24,-40.24,40.24,0.0,49.24,252
1.03163333333,100.0,b255d4bd6c9ba194d3a350b3e76c6393,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,2016-08-18,2017-08-17,364,143,0.007214219114195805,2.5454545454545454,203.14,-185.86,203.14,0.4325980392156863,190.87,143
8.18725,20.0,4a168225e89375b8de605cbc0977ae91,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,2016-08-18,2017-08-17,364,252,0.032489087301587304,1.4444444444444444,468.48,-463.73,468.48,0.2850549450549451,164.42,252
12.9681166667,100.0,0322b1d744cc89ebbe6ebe70d824d922,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,2016-08-18,2017-08-17,364,53,0.24468144654150945,6.867924528301887,725.98,-830.48,830.48,1.5817857142857146,228.65,53
30.7100833333,5.0,f4cac8c1544b723ddedc9bdba81c64c0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,2016-08-18,2017-08-17,364,225,0.1364892592591111,1.6177777777777778,1174.55,-1019.94,1174.55,-0.24739010989010987,74.758,225
0.0,100.0,bdc39d2fc664ef9a5e6713168057f892,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,2016-08-18,2017-08-17,364,114,0.0,3.192982456140351,1138.93,-1131.93,1138.93,6.965061728395061,1145.37,114
0.0,5000.0,85f2f0f54411b4f3e7a403ba902e7280,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,2016-08-18,2017-08-17,364,252,0.0,1.4444444444444444,8672.08,-8732.8,8732.8,-2.958365384615383,6790.685,252
2.96961666667,11.0,529ddd19dac72d55cde8e633340a9aed,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,2016-08-18,2017-08-17,364,158,0.018795042194113924,2.3037974683544302,143.79,-142.69,143.79,0.08286956521739126,30.36,158
9.4436,50.0,bf7d43376fee932d78537347beb07e36,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,2016-08-18,2017-08-17,364,252,0.037474603174603174,1.4444444444444444,470.89,-473.15,473.15,-0.1982142857142857,74.17,252
3.35893333333,1000.0,56bea929bcaeae73d3737a42c02bfc3c,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,2016-08-18,2017-08-17,364,133,0.025255137844586467,2.736842105263158,4729.76,-4729.84,4729.84,19.81357894736842,4750.18,133
74.3467666667,200.0,b63f1ab8005b313815f116ea99ae1864,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,2016-08-18,2017-08-17,364,78,0.9531636752141026,4.666666666666667,412.0445,-417.71,417.71,0.6863648648648648,280.76,78
0.987966666667,3000.0,3bc30bf7afa2a7ef04bb7d8f9742d752,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,2016-08-18,2017-08-17,364,199,0.004964656616417085,1.829145728643216,5993.07,-5940.96,5993.07,10.042083333333332,5869.57,199
4.52153333333,5000.0,51a4ce44d4bc392a4a2db226308e8d0b,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,2016-08-18,2017-08-17,364,153,0.029552505446601308,2.3790849673202614,7960.46,-8009.05,8009.05,12.473333333333333,7734.93,153
4.55301666667,10.0,064ecf3e3a66c362fa52807411ced374,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,2016-08-18,2017-08-17,364,206,0.02210202265373786,1.766990291262136,166.5297,-161.5279,166.5297,-0.003538410596026455,10.015,206
0.0,40.0,50cf51b304d3dd9796063cf7b8221ada,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,2016-08-18,2017-08-17,364,252,0.0,1.4444444444444444,20.93,-20.96,20.96,0.0014285714285714275,21.88,252
