risk_tolerance,investment_experience,liquidity_needs,platform,time_spent,instrument_type_first_traded,first_deposit_amount,time_horizon,user_id,first_trade,last_trade,trading_span,total_trades,time_per_trade,trades_per_day,max_change,min_change,max_abs_change,mean_change,median_change
high_risk_tolerance,limited_investment_exp,very_important_liq_need,Android,33.1294166667,stock,40.0,med_time_horizon,895044c23edc821881e87da749c01034,2016-11-16,2017-07-12,238,190,0.17436535087736843,1.2526315789473683,42.48,-5.560000000000002,42.48,0.2253968253968254,-0.04000000000000625
med_risk_tolerance,limited_investment_exp,very_important_liq_need,Android,16.5735166667,stock,200.0,short_time_horizon,458b1d95441ced242949deefe8e4b638,2016-11-16,2017-07-12,238,252,0.06576792328055556,0.9444444444444444,9.710000000000036,-9.810000000000002,9.810000000000002,0.23976095617529883,0.5699999999999932
med_risk_tolerance,limited_investment_exp,very_important_liq_need,iOS,10.0083666667,stock,25.0,long_time_horizon,c7936f653d293479e034865db9bb932f,2016-11-16,2017-07-12,238,252,0.039715740740873015,0.9444444444444444,0.0,0.0,0.0,0.0,0.0
med_risk_tolerance,limited_investment_exp,very_important_liq_need,Android,1.03163333333,stock,100.0,short_time_horizon,b255d4bd6c9ba194d3a350b3e76c6393,2016-11-16,2017-07-12,238,143,0.007214219114195805,1.6643356643356644,107.68999999999998,-17.599999999999994,107.68999999999998,0.6214788732394366,-0.04999999999999716
high_risk_tolerance,limited_investment_exp,very_important_liq_need,Android,8.18725,stock,20.0,long_time_horizon,4a168225e89375b8de605cbc0977ae91,2016-11-16,2017-07-12,238,252,0.032489087301587304,0.9444444444444444,138.56440000000003,-139.2006,139.2006,0.4133864541832669,0.0
med_risk_tolerance,no_investment_exp,not_important_liq_need,iOS,12.9681166667,stock,100.0,med_time_horizon,0322b1d744cc89ebbe6ebe70d824d922,2016-11-16,2017-07-12,238,53,0.24468144654150945,4.490566037735849,257.2824999999999,-496.86,496.86,2.5551923076923084,0.47349999999999426
low_risk_tolerance,good_investment_exp,very_important_liq_need,Android,30.7100833333,stock,5.0,long_time_horizon,f4cac8c1544b723ddedc9bdba81c64c0,2016-11-16,2017-07-12,238,225,0.1364892592591111,1.0577777777777777,798.4000000000001,-647.4000000000001,798.4000000000001,-0.40200892857142867,-0.5649999999999729
high_risk_tolerance,good_investment_exp,somewhat_important_liq_need,iOS,0.0,stock,100.0,short_time_horizon,bdc39d2fc664ef9a5e6713168057f892,2016-11-16,2017-07-12,238,114,0.0,2.087719298245614,1011.21,-31.180000000000064,1011.21,9.985309734513274,1.2000000000000455
high_risk_tolerance,good_investment_exp,very_important_liq_need,iOS,0.0,stock,5000.0,short_time_horizon,85f2f0f54411b4f3e7a403ba902e7280,2016-11-16,2017-07-12,238,252,0.0,0.9444444444444444,2840.0644999999995,-2846.3354,2846.3354,-4.290219123505974,-9.519999999999527
med_risk_tolerance,no_investment_exp,very_important_liq_need,Android,2.96961666667,stock,11.0,med_time_horizon,529ddd19dac72d55cde8e633340a9aed,2016-11-16,2017-07-12,238,158,0.018795042194113924,1.5063291139240507,29.239999999999995,-105.62,105.62,0.12140127388535035,0.14000000000000057
med_risk_tolerance,no_investment_exp,very_important_liq_need,both,9.4436,stock,50.0,short_time_horizon,bf7d43376fee932d78537347beb07e36,2016-11-16,2017-07-12,238,252,0.037474603174603174,0.9444444444444444,234.74,-200.0,234.74,-0.28745019920318715,0.0
high_risk_tolerance,good_investment_exp,very_important_liq_need,Android,3.35893333333,etp,1000.0,long_time_horizon,56bea929bcaeae73d3737a42c02bfc3c,2016-11-16,2017-07-12,238,133,0.025255137844586467,1.7894736842105263,3493.1099999999997,-253.5899999999997,3493.1099999999997,28.519545454545455,-3.324999999999818
