fullName,country,politicalGroup,id,nationalPoliticalGroup
Marie DAUCHY,France,Patriots for Europe Group,236050,Rassemblement national
Dóra DÁVID,Hungary,Group of the European People's Party (Christian Democrats),256862,Tisztelet és Szabadság Párt
Ivan DAVID,Czechia,Europe of Sovereign Nations Group,197556,Svoboda a přímá demokracie
Antonio DECARO,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,257122,Partito Democratico
Jérémy DECERLE,France,Renew Europe Group,197504,Renaissance
Raúl DE LA HOZ QUINTANO,Spain,Group of the European People's Party (Christian Democrats),257030,Partido Popular
Danilo DELLA VALLE,Italy,The Left group in the European Parliament - GUE/NGL,257155,Movimento 5 Stelle
Valérie DELOGE,France,Patriots for Europe Group,256886,Rassemblement national
Fabio DE MASI,Germany,Non-attached Members,124858,Bündnis Sahra Wagenknecht – Vernunft und Gerechtigkeit
Salvatore DE MEO,Italy,Group of the European People's Party (Christian Democrats),204333,Forza Italia
Özlem DEMIREL,Germany,The Left group in the European Parliament - GUE/NGL,197468,DIE LINKE.
Tamás DEUTSCH,Hungary,Patriots for Europe Group,96826,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt
Valérie DEVAUX,France,Renew Europe Group,256870,Union des démocrates et indépendants
Adnan DIBRANI,Sweden,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,257087,Arbetarepartiet- Socialdemokraterna
Ton DIEPEVEEN,Netherlands,Patriots for Europe Group,256981,Partij voor de Vrijheid
Elisabeth DIERINGER,Austria,Patriots for Europe Group,256834,Freiheitliche Partei Österreichs
Vasile DÎNCU,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,33998,Partidul Social Democrat
Elio DI RUPO,Belgium,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1294,Parti Socialiste
Mélanie DISDIER,France,Patriots for Europe Group,256874,Rassemblement national
Klára DOBREV,Hungary,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197579,Demokratikus Koalíció
Regina DOHERTY,Ireland,Group of the European People's Party (Christian Democrats),257237,Fine Gael Party
Christian DOLESCHAL,Germany,Group of the European People's Party (Christian Democrats),197473,Christlich-Soziale Union in Bayern e.V.
Csaba DÖMÖTÖR,Hungary,Patriots for Europe Group,260724,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt
Paulo DO NASCIMENTO CABRAL,Portugal,Group of the European People's Party (Christian Democrats),257048,Aliança Democrática
Elena DONAZZAN,Italy,European Conservatives and Reformists Group,257095,FRATELLI D' ITALIA
Herbert DORFMANN,Italy,Group of the European People's Party (Christian Democrats),96787,Südtiroler Volkspartei
Klara DOSTALOVA,Czechia,Patriots for Europe Group,256853,ANO 2011
Ondřej DOSTÁL,Czechia,Non-attached Members,256851,Independent
Siegbert Frank DROESE,Germany,Europe of Sovereign Nations Group,256949,Alternative für Deutschland
Lena DÜPONT,Germany,Group of the European People's Party (Christian Democrats),99945,Christlich Demokratische Union Deutschlands
Michał DWORCZYK,Poland,European Conservatives and Reformists Group,257076,Prawo i Sprawiedliwość
Matthias ECKE,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,237465,Sozialdemokratische Partei Deutschlands
Christian EHLER,Germany,Group of the European People's Party (Christian Democrats),28226,Christlich Demokratische Union Deutschlands
Marieke EHLERS,Netherlands,Patriots for Europe Group,192254,Partij voor de Vrijheid
Bas EICKHOUT,Netherlands,Group of the Greens/European Free Alliance,96725,GroenLinks-PvdA
Sofie ERIKSSON,Sweden,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,257088,Arbetarepartiet- Socialdemokraterna
Dick ERIXON,Sweden,European Conservatives and Reformists Group,257091,Sverigedemokraterna
Engin EROGLU,Germany,Renew Europe Group,197430,Freie Wähler
Rosa ESTARÀS FERRAGUT,Spain,Group of the European People's Party (Christian Democrats),96811,Partido Popular
Sebastian EVERDING,Germany,The Left group in the European Parliament - GUE/NGL,256961,Partei Mensch Umwelt Tierschutz
Alma EZCURRA ALMANSA,Spain,Group of the European People's Party (Christian Democrats),257035,Partido Popular
Gheorghe FALCĂ,Romania,Group of the European People's Party (Christian Democrats),197649,Partidul Naţional Liberal
Marco FALCONE,Italy,Group of the European People's Party (Christian Democrats),257137,Forza Italia
Nikolas FARANTOURIS,Greece,The Left group in the European Parliament - GUE/NGL,256823,Coalition of the Radical Left
Laurence FARRENG,France,Renew Europe Group,197589,Mouvement Démocrate
Jan FARSKÝ,Czechia,Group of the European People's Party (Christian Democrats),256840,Starostové a nezávisli
Markus FERBER,Germany,Group of the European People's Party (Christian Democrats),1917,Christlich-Soziale Union in Bayern e.V.
Viktória FERENC,Hungary,Patriots for Europe Group,256857,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt
Jonás FERNÁNDEZ,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,125046,Partido Socialista Obrero Español
Carlo FIDANZA,Italy,European Conservatives and Reformists Group,96810,FRATELLI D' ITALIA
Pietro FIOCCHI,Italy,European Conservatives and Reformists Group,197607,FRATELLI D' ITALIA
Gabriela FIREA,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,257098,Partidul Social Democrat
Ruth FIRMENICH,Germany,Non-attached Members,25758,Bündnis Sahra Wagenknecht – Vernunft und Gerechtigkeit
Claire FITA,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,256906,Parti socialiste
Luke Ming FLANAGAN,Ireland,The Left group in the European Parliament - GUE/NGL,124985,Independent
Loucas FOURLAS,Cyprus,Group of the European People's Party (Christian Democrats),197414,Democratic Rally
Emma FOURREAU,France,The Left group in the European Parliament - GUE/NGL,256913,La France Insoumise
Emmanouil FRAGKOS,Greece,European Conservatives and Reformists Group,198490,Elliniki Lusi-Greek Solution
André FRANQUEIRA RODRIGUES,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,257066,Partido Socialista
Daniel FREUND,Germany,Group of the Greens/European Free Alliance,106936,Bündnis 90/Die Grünen
Anne-Sophie FRIGOUT,France,Patriots for Europe Group,256876,Rassemblement national
Sigrid FRIIS,Denmark,Renew Europe Group,257038,Det Radikale Venstre
Heléne FRITZON,Sweden,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197391,Arbetarepartiet- Socialdemokraterna
Tomasz FROELICH,Germany,Europe of Sovereign Nations Group,190574,Alternative für Deutschland
Niels FUGLSANG,Denmark,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,101585,Socialdemokratiet
Kathleen FUNCHION,Ireland,The Left group in the European Parliament - GUE/NGL,257299,Sinn Féin
Angéline FURET,France,Patriots for Europe Group,256896,Rassemblement national
Mario FURORE,Italy,The Left group in the European Parliament - GUE/NGL,197795,Movimento 5 Stelle
Michael GAHLER,Germany,Group of the European People's Party (Christian Democrats),2341,Christlich Demokratische Union Deutschlands
Kinga GÁL,Hungary,Patriots for Europe Group,28150,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt
Estrella GALÁN,Spain,The Left group in the European Parliament - GUE/NGL,257012,Movimiento Sumar
Lina GÁLVEZ,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197702,Partido Socialista Obrero Español
Alberico GAMBINO,Italy,European Conservatives and Reformists Group,257097,FRATELLI D' ITALIA
Iratxe GARCÍA PÉREZ,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,28298,Partido Socialista Obrero Español
Raquel GARCÍA HERMIDA-VAN DER WALLE,Netherlands,Renew Europe Group,256970,Democraten 66
Jean-Paul GARRAUD,France,Patriots for Europe Group,197628,Rassemblement national
Kamila GASIUK-PIHOWICZ,Poland,Group of the European People's Party (Christian Democrats),257032,Platforma Obywatelska
Geadis GEADI,Cyprus,European Conservatives and Reformists Group,256986,Εθνικό Λαϊκό Μέτωπο
Hanna GEDIN,Sweden,The Left group in the European Parliament - GUE/NGL,257092,Vänsterpartiet
Alexandra GEESE,Germany,Group of the Greens/European Free Alliance,183916,Bündnis 90/Die Grünen
Jens GEIER,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,96833,Sozialdemokratische Partei Deutschlands
Thomas GEISEL,Germany,Non-attached Members,256939,Bündnis Sahra Wagenknecht – Vernunft und Gerechtigkeit
Chiara GEMMA,Italy,European Conservatives and Reformists Group,197794,FRATELLI D' ITALIA
Giorgos GEORGIOU,Cyprus,The Left group in the European Parliament - GUE/NGL,197416,Progressive Party of Working People - Left - New Forces
Gerben-Jan GERBRANDY,Netherlands,Renew Europe Group,96940,Democraten 66
Jean-Marc GERMAIN,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,256901,Parti socialiste
Gabriella GERZSENYI,Hungary,Group of the European People's Party (Christian Democrats),256866,Tisztelet és Szabadság Párt
Niels GEUKING,Germany,Group of the European People's Party (Christian Democrats),251874,Familien-Partei Deutschlands
Jens GIESEKE,Germany,Group of the European People's Party (Christian Democrats),124807,Christlich Demokratische Union Deutschlands
Borja GIMÉNEZ LARRAZ,Spain,Group of the European People's Party (Christian Democrats),125204,Partido Popular
Juan Carlos GIRAUTA VIDAL,Spain,Patriots for Europe Group,125052,VOX
Sunčana GLAVAK,Croatia,Group of the European People's Party (Christian Democrats),202036,Hrvatska demokratska zajednica
Andreas GLÜCK,Germany,Renew Europe Group,197443,Freie Demokratische Partei
Raphaël GLUCKSMANN,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197694,Place publique
Charles GOERENS,Luxembourg,Renew Europe Group,840,Parti démocratique
Christophe GOMART,France,Group of the European People's Party (Christian Democrats),256919,Les Républicains
Isilda GOMES,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,257075,Partido Socialista
Sandra GÓMEZ LÓPEZ,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,256997,Partido Socialista Obrero Español
Bruno GONÇALVES,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,257059,Partido Socialista
Sérgio GONÇALVES,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,257079,Partido Socialista
Nicolás GONZÁLEZ CASARES,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197718,Partido Socialista Obrero Español
Esteban GONZÁLEZ PONS,Spain,Group of the European People's Party (Christian Democrats),125027,Partido Popular
Giorgio GORI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,257102,Partito Democratico
Małgorzata GOSIEWSKA,Poland,European Conservatives and Reformists Group,257055,Prawo i Sprawiedliwość
Dirk GOTINK,Netherlands,Group of the European People's Party (Christian Democrats),97399,Nieuw Sociaal Contract
Sandro GOZI,France,Renew Europe Group,204419,Mouvement Démocrate
Maria GRAPINI,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124785,Partidul Umanist Social Liberal
Petras GRAŽULIS,Lithuania,Europe of Sovereign Nations Group,256808,Tautos ir teisingumo sąjunga
Markéta GREGOROVÁ,Czechia,Group of the Greens/European Free Alliance,197549,PIRÁTI
Branko GRIMS,Slovenia,Group of the European People's Party (Christian Democrats),220908,Slovenska demokratska stranka
Catherine GRISET,France,Patriots for Europe Group,94649,Rassemblement national
Hanna GRONKIEWICZ-WALTZ,Poland,Group of the European People's Party (Christian Democrats),262021,Platforma Obywatelska
Bart GROOTHUIS,Netherlands,Renew Europe Group,197780,Volkspartij voor Vrijheid en Democratie
Elisabeth GROSSMANN,Austria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,256830,Sozialdemokratische Partei Österreichs
Christophe GRUDLER,France,Renew Europe Group,197557,Mouvement Démocrate
Elisabetta GUALMINI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197618,Partito Democratico
Cristina GUARDA,Italy,Group of the Greens/European Free Alliance,257130,Europa Verde - Verdi
Bernard GUETTA,France,Renew Europe Group,197543,Sans parti
Martin GÜNTHER,Germany,The Left group in the European Parliament - GUE/NGL,270719,DIE LINKE.
Maria GUZENINA,Finland,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,256803,Suomen Sosialidemokraattinen Puolue/Finlands Socialdemokratiska Parti
Enikő GYŐRI,Hungary,Patriots for Europe Group,96830,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt
András GYÜRK,Hungary,Patriots for Europe Group,23816,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt
Michalis HADJIPANTELA,Cyprus,Group of the European People's Party (Christian Democrats),256985,Democratic Rally
Svenja HAHN,Germany,Renew Europe Group,197444,Freie Demokratische Partei
Roman HAIDER,Austria,Patriots for Europe Group,198176,Freiheitliche Partei Österreichs
Andrzej HALICKI,Poland,Group of the European People's Party (Christian Democrats),197514,Platforma Obywatelska
Niels Flemming HANSEN,Denmark,Group of the European People's Party (Christian Democrats),257033,Det Konservative Folkeparti
Rima HASSAN,France,The Left group in the European Parliament - GUE/NGL,256912,La France Insoumise
Gerald HAUSER,Austria,Patriots for Europe Group,256842,Freiheitliche Partei Österreichs
Martin HÄUSLING,Germany,Group of the Greens/European Free Alliance,96752,Bündnis 90/Die Grünen
Mircea-Gheorghe HAVA,Romania,Group of the European People's Party (Christian Democrats),197646,Partidul Naţional Liberal
Valérie HAYER,France,Renew Europe Group,135511,Renaissance
Anja HAZEKAMP,Netherlands,The Left group in the European Parliament - GUE/NGL,125023,Partij voor de Dieren
Hannes HEIDE,Austria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197682,Sozialdemokratische Partei Österreichs
Eero HEINÄLUOMA,Finland,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197800,Suomen Sosialidemokraattinen Puolue/Finlands Socialdemokratiska Parti
Anna-Maja HENRIKSSON,Finland,Renew Europe Group,198073,Svenska folkpartiet
Niclas HERBST,Germany,Group of the European People's Party (Christian Democrats),197412,Christlich Demokratische Union Deutschlands
Esther HERRANZ GARCÍA,Spain,Group of the European People's Party (Christian Democrats),22418,Partido Popular
Krzysztof HETMAN,Poland,Group of the European People's Party (Christian Democrats),124895,Polskie Stronnictwo Ludowe
Monika HOHLMEIER,Germany,Group of the European People's Party (Christian Democrats),96780,Christlich-Soziale Union in Bayern e.V.
Martin HOJSÍK,Slovakia,Renew Europe Group,197770,Progresívne Slovensko
Pär HOLMGREN,Sweden,Group of the Greens/European Free Alliance,197398,Miljöpartiet de gröna
György HÖLVÉNYI,Hungary,Patriots for Europe Group,124715,Kereszténydemokrata Néppárt
Alicia HOMS GINEL,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,122978,Partido Socialista Obrero Español
Sérgio HUMBERTO,Portugal,Group of the European People's Party (Christian Democrats),257065,Aliança Democrática
Ivars IJABS,Latvia,Renew Europe Group,197624,Latvijas attīstībai
Céline IMART,France,Group of the European People's Party (Christian Democrats),256918,Les Républicains
Evin INCIR,Sweden,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197392,Arbetarepartiet- Socialdemokraterna
Paolo INSELVINI,Italy,European Conservatives and Reformists Group,257144,FRATELLI D' ITALIA
Diana IOVANOVICI ŞOŞOACĂ,Romania,Non-attached Members,257120,S.O.S. România
Patryk JAKI,Poland,European Conservatives and Reformists Group,197516,Solidarna Polska Zbigniewa Ziobro
Hana JALLOUL MURO,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,256992,Partido Socialista Obrero Español
France JAMET,France,Patriots for Europe Group,189065,Rassemblement national
Adam JARUBAS,Poland,Group of the European People's Party (Christian Democrats),197517,Polskie Stronnictwo Ludowe
Romana JERKOVIĆ,Croatia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,112747,Socijaldemokratska partija Hrvatske
Marc JONGEN,Germany,Europe of Sovereign Nations Group,256942,Alternative für Deutschland
Dariusz JOŃSKI,Poland,Group of the European People's Party (Christian Democrats),257031,Koalicja Obywatelska
Virginie JORON,France,Patriots for Europe Group,197627,Rassemblement national
Pierre JOUVET,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,256898,Parti socialiste
Irena JOVEVA,Slovenia,Renew Europe Group,197447,Gibanje Svoboda
Rasa JUKNEVIČIENĖ,Lithuania,Group of the European People's Party (Christian Democrats),197840,Tėvynės sąjunga-Lietuvos krikščionys demokratai
Nora JUNCO GARCÍA,Spain,European Conservatives and Reformists Group,257022,Independiente
Alexander JUNGBLUTH,Germany,Europe of Sovereign Nations Group,256941,Alternative für Deutschland
Taner KABILOV,Bulgaria,Non-attached Members,257256,Movement for Rights and Freedoms
François KALFON,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,256908,Parti socialiste
Erik KALIŇÁK,Slovakia,Non-attached Members,257007,SMER-Sociálna demokracia
Marina KALJURAND,Estonia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197491,Sotsiaaldemokraatlik Erakond
Sandra KALNIETE,Latvia,Group of the European People's Party (Christian Democrats),96934,Jaunā Vienotība
Mariusz KAMIŃSKI,Poland,European Conservatives and Reformists Group,257056,Prawo i Sprawiedliwość
Radan KANEV,Bulgaria,Group of the European People's Party (Christian Democrats),197839,Democrats for Strong Bulgaria
Assita KANKO,Belgium,European Conservatives and Reformists Group,197469,Nieuw-Vlaamse Alliantie
Karin KARLSBRO,Sweden,Renew Europe Group,197401,Liberalerna
Fernand KARTHEISER,Luxembourg,Non-attached Members,256900,Alternativ Demokratesch Reformpartei
Ľubica KARVAŠOVÁ,Slovakia,Renew Europe Group,257013,Progresívne Slovensko
Elsi KATAINEN,Finland,Renew Europe Group,191693,Suomen Keskusta
Emmanouil KEFALOGIANNIS,Greece,Group of the European People's Party (Christian Democrats),125068,Nea Demokratia
Billy KELLEHER,Ireland,Renew Europe Group,197818,Fianna Fáil Party
Fabienne KELLER,France,Renew Europe Group,22858,Renaissance
Seán KELLY,Ireland,Group of the European People's Party (Christian Democrats),96668,Fine Gael Party
Martine KEMP,Luxembourg,Group of the European People's Party (Christian Democrats),249603,Parti chrétien social luxembourgeois
Rudi KENNES,Belgium,The Left group in the European Parliament - GUE/NGL,256890,Independent
Mary KHAN,Germany,Europe of Sovereign Nations Group,256957,Alternative für Deutschland
Sophia KIRCHER,Austria,Group of the European People's Party (Christian Democrats),256831,Österreichische Volkspartei
Sarah KNAFO,France,Europe of Sovereign Nations Group,256924,Reconquête!
Ondřej KNOTEK,Czechia,Patriots for Europe Group,197528,ANO 2011
Jaroslav KNOT,Czechia,Patriots for Europe Group,270261,ANO 2011
Michał KOBOSKO,Poland,Renew Europe Group,257037,Polska 2050
Stefan KÖHLER,Germany,Group of the European People's Party (Christian Democrats),256973,Christlich-Soziale Union in Bayern e.V.
Łukasz KOHUT,Poland,Group of the European People's Party (Christian Democrats),197523,Independent
Arba KOKALARI,Sweden,Group of the European People's Party (Christian Democrats),197406,Moderaterna
Ondřej KOLÁŘ,Czechia,Group of the European People's Party (Christian Democrats),256846,TOP 09 a Starostové
Kinga KOLLÁR,Hungary,Group of the European People's Party (Christian Democrats),256861,Tisztelet és Szabadság Párt
Rihards KOLS,Latvia,European Conservatives and Reformists Group,220871,"Nacionālā apvienība ""Visu Latvijai!"" - ""Tēvzemei un Brīvībai/LNNK"""
Kateřina KONEČNÁ,Czechia,Non-attached Members,23699,Komunistická strana Čech a Moravy
Ewa KOPACZ,Poland,Group of the European People's Party (Christian Democrats),197525,Platforma Obywatelska
Moritz KÖRNER,Germany,Renew Europe Group,197445,Freie Demokratische Partei
Elena KOUNTOURA,Greece,The Left group in the European Parliament - GUE/NGL,197699,Coalition of the Radical Left
Andrey KOVATCHEV,Bulgaria,Group of the European People's Party (Christian Democrats),97968,Citizens for European Development of Bulgaria
Vilis KRIŠTOPANS,Latvia,Patriots for Europe Group,256909,Latvija pirmajā vietā
Sebastian KRUIS,Netherlands,Patriots for Europe Group,256996,Partij voor de Vrijheid
